"rho","T","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.139,0.033333,1,0,1,0,0
0.13899,0.033333,1,1,1,1,0
0.13899,0.033333,1,2,1,2,0
0.13899,0.033333,1,3,1,3,0
0.13899,0.033333,1,4,1,4,0
0.13899,0.033333,1,5,1,5,0
0.13898,0.033333,1,6,1,6,0
0.13898,0.033333,1,7,1,7,0
0.13898,0.033333,1,8,1,8,0
0.13897,0.033333,1,9,1,9,0
0.13897,0.033333,1,10,1,10,0
0.13897,0.033333,1,11,1,11,0
0.13897,0.033333,1,12,1,12,0
0.13896,0.033333,1,13,1,13,0
0.13896,0.033333,1,14,1,14,0
0.13896,0.033333,1,15,1,15,0
0.13895,0.033333,1,16,1,16,0
0.13895,0.033333,1,17,1,17,0
0.13895,0.033333,1,18,1,18,0
0.13895,0.033333,1,19,1,19,0
0.13894,0.033333,1,20,1,20,0
0.13894,0.033333,1,21,1,21,0
0.13894,0.033333,1,22,1,22,0
0.13893,0.033333,1,23,1,23,0
0.13893,0.033333,1,24,1,24,0
0.13893,0.033333,1,25,1,25,0
0.13893,0.033333,1,26,1,26,0
0.13892,0.033333,1,27,1,27,0
0.13892,0.033333,1,28,1,28,0
0.13892,0.033333,1,29,1,29,0
0.13891,0.033333,1,30,1,30,0
0.13891,0.033333,1,31,1,31,0
0.13891,0.033333,1,32,1,32,0
0.13891,0.033333,1,33,1,33,0
0.1389,0.033333,1,34,1,34,0
0.1389,0.033333,1,35,1,35,0
0.1389,0.033333,1,36,1,36,0
0.13889,0.033333,1,37,1,37,0
0.13889,0.033333,1,38,1,38,0
0.13889,0.033333,1,39,1,39,0
0.13889,0.033333,1,40,1,40,0
0.13888,0.033333,1,41,1,41,0
0.13888,0.033333,1,42,1,42,0
0.13888,0.033333,1,43,1,43,0
0.13887,0.033333,1,44,1,44,0
0.13887,0.033333,1,45,1,45,0
0.13887,0.033333,1,46,1,46,0
0.13887,0.033333,1,47,1,47,0
0.13886,0.033333,1,48,1,48,0
0.13886,0.033333,1,49,1,49,0
0.13886,0.033333,1,50,1,50,0
0.13885,0.033333,1,51,1,51,0
0.13885,0.033333,1,52,1,52,0
0.13885,0.033333,1,53,1,53,0
0.13885,0.033333,1,54,1,54,0
0.13884,0.033333,1,55,1,55,0
0.13884,0.033333,1,56,1,56,0
0.13884,0.033333,1,57,1,57,0
0.13883,0.033333,1,58,1,58,0
0.13883,0.033333,1,59,1,59,0
0.13883,0.033333,1,60,1,60,0
0.13882,0.033333,1,61,1,61,0
0.13882,0.033333,1,62,1,62,0
0.13882,0.033333,1,63,1,63,0
0.13882,0.033333,1,64,1,64,0
0.13881,0.033333,1,65,1,65,0
0.13881,0.033333,1,66,1,66,0
0.13881,0.033333,1,67,1,67,0
0.1388,0.033333,1,68,1,68,0
0.1388,0.033333,1,69,1,69,0
0.1388,0.033333,1,70,1,70,0
0.1388,0.033333,1,71,1,71,0
0.13879,0.033333,1,72,1,72,0
0.13879,0.033333,1,73,1,73,0
0.13879,0.033333,1,74,1,74,0
0.13878,0.033333,1,75,1,75,0
0.13878,0.033333,1,76,1,76,0
0.13878,0.033333,1,77,1,77,0
0.13878,0.033333,1,78,1,78,0
0.13877,0.033333,1,79,1,79,0
0.13877,0.033333,1,80,1,80,0
0.13877,0.033333,1,81,1,81,0
0.13876,0.033333,1,82,1,82,0
0.13876,0.033333,1,83,1,83,0
0.13876,0.033333,1,84,1,84,0
0.13876,0.033333,1,85,1,85,0
0.13875,0.033333,1,86,1,86,0
0.13875,0.033333,1,87,1,87,0
0.13875,0.033333,1,88,1,88,0
0.13874,0.033333,1,89,1,89,0
0.13874,0.033333,1,90,1,90,0
0.13874,0.033333,1,91,1,91,0
0.13874,0.033333,1,92,1,92,0
0.13873,0.033333,1,93,1,93,0
0.13873,0.033333,1,94,1,94,0
0.13873,0.033333,1,95,1,95,0
0.13872,0.033333,1,96,1,96,0
0.13872,0.033333,1,97,1,97,0
0.13872,0.033333,1,98,1,98,0
0.13872,0.033333,1,99,1,99,0
0.13871,0.033333,1,100,1,100,0
0.13871,0.033333,1,101,1,101,0
0.13871,0.033333,1,102,1,102,0
0.1387,0.033333,1,103,1,103,0
0.1387,0.033333,1,104,1,104,0
0.1387,0.033333,1,105,1,105,0
0.13869,0.033333,1,106,1,106,0
0.13869,0.033333,1,107,1,107,0
0.13869,0.033333,1,108,1,108,0
0.13869,0.033333,1,109,1,109,0
0.13868,0.033333,1,110,1,110,0
0.13868,0.033333,1,111,1,111,0
0.13868,0.033333,1,112,1,112,0
0.13867,0.033333,1,113,1,113,0
0.13867,0.033333,1,114,1,114,0
0.13867,0.033333,1,115,1,115,0
0.13867,0.033333,1,116,1,116,0
0.13866,0.033333,1,117,1,117,0
0.13866,0.033333,1,118,1,118,0
0.13866,0.033333,1,119,1,119,0
0.13865,0.033333,1,120,1,120,0
0.13865,0.033333,1,121,1,121,0
0.13865,0.033333,1,122,1,122,0
0.13865,0.033333,1,123,1,123,0
0.13864,0.033333,1,124,1,124,0
0.13864,0.033333,1,125,1,125,0
0.13864,0.033333,1,126,1,126,0
0.13863,0.033333,1,127,1,127,0
0.13863,0.033333,1,128,1,128,0
0.13863,0.033333,1,129,1,129,0
0.13862,0.033333,1,130,1,130,0
0.13862,0.033333,1,131,1,131,0
0.13862,0.033333,1,132,1,132,0
0.13862,0.033333,1,133,1,133,0
0.13861,0.033333,1,134,1,134,0
0.13861,0.033333,1,135,1,135,0
0.13861,0.033333,1,136,1,136,0
0.1386,0.033333,1,137,1,137,0
0.1386,0.033333,1,138,1,138,0
0.1386,0.033333,1,139,1,139,0
0.1386,0.033333,1,140,1,140,0
0.13859,0.033333,1,141,1,141,0
0.13859,0.033333,1,142,1,142,0
0.13859,0.033333,1,143,1,143,0
0.13858,0.033333,1,144,1,144,0
0.13858,0.033333,1,145,1,145,0
0.13858,0.033333,1,146,1,146,0
0.13858,0.033333,1,147,1,147,0
0.13857,0.033333,1,148,1,148,0
0.13857,0.033333,1,149,1,149,0
0.13857,0.033333,1,150,1,150,0
0.13856,0.033333,1,151,1,151,0
0.13856,0.033333,1,152,1,152,0
0.13856,0.033333,1,153,1,153,0
0.13855,0.033333,1,154,1,154,0
0.13855,0.033333,1,155,1,155,0
0.13855,0.033333,1,156,1,156,0
0.13855,0.033333,1,157,1,157,0
0.13854,0.033333,1,158,1,158,0
0.13854,0.033333,1,159,1,159,0
0.13854,0.033333,1,160,1,160,0
0.13853,0.033333,1,161,1,161,0
0.13853,0.033333,1,162,1,162,0
0.13853,0.033333,1,163,1,163,0
0.13853,0.033333,1,164,1,164,0
0.13852,0.033333,1,165,1,165,0
0.13852,0.033333,1,166,1,166,0
0.13852,0.033333,1,167,1,167,0
0.13851,0.033333,1,168,1,168,0
0.13851,0.033333,1,169,1,169,0
0.13851,0.033333,1,170,1,170,0
0.1385,0.033333,1,171,1,171,0
0.1385,0.033333,1,172,1,172,0
0.1385,0.033333,1,173,1,173,0
0.1385,0.033333,1,174,1,174,0
0.13849,0.033333,1,175,1,175,0
0.13849,0.033333,1,176,1,176,0
0.13849,0.033333,1,177,1,177,0
0.13848,0.033333,1,178,1,178,0
0.13848,0.033333,1,179,1,179,0
0.13848,0.033333,1,180,1,180,0
0.13848,0.033333,1,181,1,181,0
0.13847,0.033333,1,182,1,182,0
0.13847,0.033333,1,183,1,183,0
0.13847,0.033333,1,184,1,184,0
0.13846,0.033333,1,185,1,185,0
0.13846,0.033333,1,186,1,186,0
0.13846,0.033333,1,187,1,187,0
0.13845,0.033333,1,188,1,188,0
0.13845,0.033333,1,189,1,189,0
0.13845,0.033333,1,190,1,190,0
0.13845,0.033333,1,191,1,191,0
0.13844,0.033333,1,192,1,192,0
0.13844,0.033333,1,193,1,193,0
0.13844,0.033333,1,194,1,194,0
0.13843,0.033333,1,195,1,195,0
0.13843,0.033333,1,196,1,196,0
0.13843,0.033333,1,197,1,197,0
0.13843,0.033333,1,198,1,198,0
0.13842,0.033333,1,199,1,199,0
0.13842,0.033333,1,200,1,200,0
0.13842,0.033333,1,201,1,201,0
0.13841,0.033333,1,202,1,202,0
0.13841,0.033333,1,203,1,203,0
0.13841,0.033333,1,204,1,204,0
0.1384,0.033333,1,205,1,205,0
0.1384,0.033333,1,206,1,206,0
0.1384,0.033333,1,207,1,207,0
0.1384,0.033333,1,208,1,208,0
0.13839,0.033333,1,209,1,209,0
0.13839,0.033333,1,210,1,210,0
0.13839,0.033333,1,211,1,211,0
0.13838,0.033333,1,212,1,212,0
0.13838,0.033333,1,213,1,213,0
0.13838,0.033333,1,214,1,214,0
0.13837,0.033333,1,215,1,215,0
0.13837,0.033333,1,216,1,216,0
0.13837,0.033333,1,217,1,217,0
0.13837,0.033333,1,218,1,218,0
0.13836,0.033333,1,219,1,219,0
0.13836,0.033333,1,220,1,220,0
0.13836,0.033333,1,221,1,221,0
0.13835,0.033333,1,222,1,222,0
0.13835,0.033333,1,223,1,223,0
0.13835,0.033333,1,224,1,224,0
0.13835,0.033333,1,225,1,225,0
0.13834,0.033333,1,226,1,226,0
0.13834,0.033333,1,227,1,227,0
0.13834,0.033333,1,228,1,228,0
0.13833,0.033333,1,229,1,229,0
0.13833,0.033333,1,230,1,230,0
0.13833,0.033333,1,231,1,231,0
0.13832,0.033333,1,232,1,232,0
0.13832,0.033333,1,233,1,233,0
0.13832,0.033333,1,234,1,234,0
0.13832,0.033333,1,235,1,235,0
0.13831,0.033333,1,236,1,236,0
0.13831,0.033333,1,237,1,237,0
0.13831,0.033333,1,238,1,238,0
0.1383,0.033333,1,239,1,239,0
0.1383,0.033333,1,240,1,240,0
0.1383,0.033333,1,241,1,241,0
0.13829,0.033333,1,242,1,242,0
